campany_name,rating,headquarter,headquarter,num_of_locations,pub_or_pri,how long,employees,reviews,reviews,salaries,jobs,interviews
DTDC Express ,4,"Bangalore/Bengaluru,Karnataka + 186 more",Bangalore/Bengaluru, 186,Private,32,5k-10k Employees (India),,1.9k,6.8k,71,59
ABB Group ,4.1,Zurich + 86 more,Zurich, 86,Public,21,10k-50k Employees (India),,1.9k,11.5k,1,64
McDonald's ,4.3,"Chicago,Illinois + 117 more",Chicago, 117,Private,67,5k-10k Employees (India),,1.9k,4.6k,19,38
Randstad ,4.1,"Chennai,Tamil Nadu + 201 more",Chennai, 201,Private,30,1k-5k Employees (India),,1.9k,8.8k,1.8k,96
Deutsche Bank ,4.3,Frankfurt + 29 more,Frankfurt, 29,Private,152,10k-50k Employees (India),,2.1k,18.1k,1,139
Alkem Laboratories ,4.1,"Mumbai,Maharashtra + 117 more",Mumbai, 117,Public,49,10k-50k Employees (India),,1.9k,7.1k,43,65
Honda Motorcycle & Scooter  ,4.2,"Gurgaon/Gurugram,Haryana + 165 more",Gurgaon/Gurugram, 165,Private,23,1k-5k Employees (India),,1.9k,9k,,56
Lava International ,4.2,"Noida,Uttar Pradesh + 202 more",Noida, 202,Public,13,1k-5k Employees (India),,1.9k,4.4k,29,26
Pidilite Industries ,4.4,"Mumbai,Maharashtra + 171 more",Mumbai, 171,Public,63,5k-10k Employees (India),,2k,7.2k,13,60
Reliance Nippon Life Insurance ,3.9,"Mumbai,Maharashtra + 382 more",Mumbai, 382,Private,22,10k-50k Employees (India),,1.8k,9.1k,3,62
Havells ,4.2,"Noida,Uttar Pradesh + 120 more",Noida, 120,Public,39,5k-10k Employees (India),,2k,10.1k,27,53
Piramal Capital Housing Finance ,4.3,Mumbai + 219 more,Mumbai, 219,,4,1k-5k Employees (India),,1.8k,8.2k,12,67
DCB Bank ,4,"Mumbai,Maharashtra + 240 more",Mumbai, 240,Private,92,5k-10k Employees (India),,1.8k,8.1k,1.1k,87
Ipca Laboratories ,4.1,"Mumbai,Maharashtra + 101 more",Mumbai, 101,Public,73,10k-50k Employees (India),,1.8k,8.4k,31,59
Standard Chartered Bank ,4.2,London + 57 more,London, 57,Private,53,10k-50k Employees (India),,5.5k,18k,28,69
KocharTech ,4.4,"Gurgaon/Gurugram,Haryana + 20 more",Gurgaon/Gurugram, 20,Private,27,1k-5k Employees (India),,1.8k,2.5k,18,26
Bajaj Electricals ,4.1,"Mumbai,Maharashtra + 160 more",Mumbai, 160,Public,84,5k-10k Employees (India),,1.8k,7.1k,26,67
Indian Oil Corporation ,4.4,"Delhi/NCR,Delhi + 177 more",Delhi/NCR, 177,Private,63,10k-50k Employees (India),,2k,5.6k,,114
Titan Company ,4.4,"Mumbai,Maharashtra + 123 more",Mumbai, 123,Public,4,5k-10k Employees (India),,2.5k,6.3k,56,46
24/7 Customer ,3.6,"San Jose,California + 20 more",San Jose, 20,Private,22,5k-10k Employees (India),,1.8k,12.4k,55,92
CARS24  ,3.8,"Gurgaon,Haryana + 132 more",Gurgaon, 132,Private,7,5k-10k Employees (India),,1.8k,9.2k,248,156
Conduent ,3.6,"Florham Park,New Jersey + 19 more",Florham Park, 19,Private,5,5k-10k Employees (India),,1.8k,15.1k,68,59
Maersk ,4.4,Copenhagen + 21 more,Copenhagen, 21,Private,118,10k-50k Employees (India),,2.2k,11.3k,125,42
Hindalco Industries ,4.3,"Mumbai,Maharashtra + 64 more",Mumbai, 64,Public,64,10k-50k Employees (India),,1.9k,6.5k,,54
Future Retail ,4.2,"San Francisco,California + 186 more",San Francisco, 186,Public,35,10k-50k Employees (India),,4.4k,7k,2,29
MRF Tyres ,3.7,"Chennai,Tamil Nadu + 158 more",Chennai, 158,Public,76,10k-50k Employees (India),,1.9k,8.7k,11,106
Tata Teleservices ,4.2,"Mumbai,Maharashtra + 152 more",Mumbai, 152,Public,26,201-500 Employees (India),,1.7k,4.5k,15,20
Team Lease ,4,"Bangalore/Bengaluru,Karnataka + 195 more",Bangalore/Bengaluru, 195,Public,6,1k-5k Employees (India),,1.7k,10k,103,71
L&T Technology Services ,3.4,"Vadodara/Baroda,Gujarat + 23 more",Vadodara/Baroda, 23,Public,10,10k-50k Employees (India),,1.7k,19.6k,,120
Jindal Steel and Power ,4,"Delhi/NCR,New Delhi + 89 more",Delhi/NCR, 89,Private,70,5k-10k Employees (India),,2.1k,9.1k,24,100
Tractors and Farm Equipment ,4.2,"Chennai,Tamil Nadu + 131 more",Chennai, 131,Public,62,5k-10k Employees (India),,1.7k,7k,16,44
Huawei Technologies ,3.8,"Gurgaon/Gurugram,Haryana + 90 more",Gurgaon/Gurugram, 90,Private,20,5k-10k Employees (India),,1.7k,9.6k,10,55
Torrent Pharmaceuticals ,4.1,"Ahmedabad,Gujrat + 86 more",Ahmedabad, 86,Public,51,10k-50k Employees (India),,1.7k,8.1k,8,39
State Street Syntel ,3.8,Mumbai + 12 more,Mumbai, 12,Private,18,501-1k Employees (India),,1.7k,9.8k,,32
Vishal Mega Mart ,3.9,"Ahmedabad,Gujrat + 239 more",Ahmedabad, 239,Private,14,10k-50k Employees (India),,1.7k,6.6k,7,66
RSPL Group ,4.1,"Mumbai,Maharashtra + 145 more",Mumbai, 145,Private,35,1k-5k Employees (India),,1.7k,6.3k,13,34
Ceat Tyres ,4.1,"Mumbai,Maharashtra + 96 more",Mumbai, 96,Public,64,5k-10k Employees (India),,1.8k,8k,,52
PNB MetLife ,3.7,"Mumbai,Maharashtra + 239 more",Mumbai, 239,Private,21,5k-10k Employees (India),,1.7k,8.3k,14,75
Bank of America ,4.4,Charlotte + 26 more,Charlotte, 26,Private,24,10k-50k Employees (India),,2.8k,16k,182,79
ACC ,4.1,"Mumbai,Maharashtra + 172 more",Mumbai, 172,Public,86,5k-10k Employees (India),,1.8k,7.8k,20,73
Capita ,3.9,"Indore,Madhya Pradesh + 16 more",Indore, 16,Private,17,1k-5k Employees (India),,1.7k,11k,42,60
Tata AIA Life Insurance ,4,"Mumbai,Maharashtra + 195 more",Mumbai, 195,Private,21,10k-50k Employees (India),,1.7k,9.8k,32,76
Rivigo ,3.8,"Gurgaon,Haryana + 145 more",Gurgaon, 145,Private,8,1k-5k Employees (India),,1.7k,7.1k,13,49
RBL Bank ,3.8,"Mumbai,Maharashtra + 177 more",Mumbai, 177,Public,79,10k-50k Employees (India),,1.7k,12.2k,51,74
Ekart Logistics ,4.2,"San Francisco,California + 386 more",San Francisco, 386,Private,13,5k-10k Employees (India),,1.7k,5.1k,,86
 ITC Infotech India ,3.6,"Bangalore/Bengaluru,Karnataka + 41 more",Bangalore/Bengaluru, 41,Private,22,5k-10k Employees (India),,1.7k,18.2k,825,112
KPIT Technologies ,3.5,"Pune,Maharashtra + 20 more",Pune, 20,Public,32,5k-10k Employees (India),,1.7k,13.6k,146,68
Dabur ,4.1,"Ghaziabad,Uttar Pradesh + 187 more",Ghaziabad, 187,Public,138,5k-10k Employees (India),,1.6k,5.8k,14,71
Radisson Hotels ,3.9,"Minnetonka,Minnesota + 90 more",Minnetonka, 90,Private,113,10k-50k Employees (India),,1.7k,5.7k,5,22
Dilip Buildcon ,4.1,"Bhopal,Madhya Pradesh + 137 more",Bhopal, 137,Public,35,10k-50k Employees (India),,1.6k,7.1k,5,52
Kotak Mahindara Life Insurance ,3.9,"Mumbai,Maharashtra + 161 more",Mumbai, 161,Public,21,10k-50k Employees (India),,1.6k,10.2k,27,71
Patanjali Ayurved ,4.1,"Haridwar,Uttarakhand + 216 more",Haridwar, 216,Private,16,5k-10k Employees (India),,1.6k,7.3k,2,51
Apollo Tyres ,4.2,"Gurgaon/Gurugram,Haryana + 129 more",Gurgaon/Gurugram, 129,Public,50,5k-10k Employees (India),,2k,6.7k,5,59
Biocon Biologics India ,4,"Bangalore/Bengaluru,Karnataka + 56 more",Bangalore/Bengaluru, 56,Public,44,10k-50k Employees (India),,1.6k,9.8k,79,92
 Publicis Sapient ,3.9,"New York,New York + 16 more",New York, 16,Private,32,1k-5k Employees (India),,1.7k,20.5k,120,179
HDFC Ergo General Insurance ,4,"Mumbai,Maharashtra + 173 more",Mumbai, 173,Public,20,5k-10k Employees (India),,1.6k,8.4k,10,51
IndiGo ,3.5,"Boston,Massachusetts + 72 more",Boston, 72,Private,17,10k-50k Employees (India),,1.6k,9.1k,192,172
Ola Cabs ,3.5,Bangalore + 86 more,Bangalore, 86,Private,12,10k-50k Employees (India),,2.3k,10k,494,74
Eureka Forbes ,4,"Mumbai,Maharashtra + 147 more",Mumbai, 147,Private,40,5k-10k Employees (India),,1.6k,5.2k,4,26
JK Cement ,4.2,"Gurgaon/Gurugram,Haryana + 184 more",Gurgaon/Gurugram, 184,Public,48,1k-5k Employees (India),,1.6k,5.8k,,101
Landmark Group ,4.3,"Dubai Marina,Dubai + 103 more",Dubai Marina, 103,Private,49,1k-5k Employees (India),,4.8k,6.3k,84,42
Max Healthcare ,4.2,"Delhi/NCR,New Delhi + 51 more",Delhi/NCR, 51,Partnership,21,1k-5k Employees (India),,1.6k,6.1k,65,41
Berger Paints ,3.8,"Kolkata,West Bengal + 182 more",Kolkata, 182,Public,99,1k-5k Employees (India),,1.6k,7.2k,48,92
Lifestyle ,4.4,"Bangalore/Bengaluru,Karnataka + 90 more",Bangalore/Bengaluru, 90,Private,23,10k-50k Employees (India),,1.7k,5.8k,11,25
GeBBS Healthcare Solutions ,3.9,"Culver City,California + 11 more",Culver City, 11,Private,17,5k-10k Employees (India),,1.5k,6.8k,43,41
Escorts Group ,4.2,"Faridabad,Haryana + 93 more",Faridabad, 93,Public,62,10k-50k Employees (India),,1.7k,6k,,54
Nestle ,4.1,Vevey + 181 more,Vevey, 181,Public,63,10k-50k Employees (India),,1.7k,7.2k,15,116
Aakash Institute ,3.6,"New Delhi,Delhi + 136 more",New Delhi, 136,Private,34,1k-5k Employees (India),,1.8k,8.2k,86,74
Utkarsh Small Finance Bank ,4,"Varanasi,Uttar Pradesh + 207 more",Varanasi, 207,Public,13,10k-50k Employees (India),,1.5k,7k,164,96
Blue Dart Express ,4.2,"Mumbai,Maharashtra + 190 more",Mumbai, 190,Public,39,10k-50k Employees (India),,1.6k,5.4k,,37
HCL Infosystems ,3.9,"Noida,Uttar Pradesh + 102 more",Noida, 102,Public,46,10k-50k Employees (India),,18.6k,8.9k,,97
Aarti Industries ,4.2,"Mumbai,Maharashtra + 33 more",Mumbai, 33,Public,47,5k-10k Employees (India),,1.5k,8.8k,42,118
PolicyBazaar ,3.7,"Gurgaon,Haryana + 31 more",Gurgaon, 31,Public,14,5k-10k Employees (India),,1.5k,8.8k,38,87
Tata AIG ,4.1,"Mumbai,Maharashtra + 181 more",Mumbai, 181,Private,22,5k-10k Employees (India),,1.5k,8.6k,92,59
Reliance Digital ,4.3,"Mumbai,Maharashtra + 212 more",Mumbai, 212,Private,15,5k-10k Employees (India),,1.5k,5.7k,,33
Pfizer ,4.2,"Chennai,Tamil Nadu + 96 more",Chennai, 96,Public,18,5k-10k Employees (India),,4.8k,5.1k,127,25
Mankind Pharma ,4.2,"New Delhi,Delhi + 143 more",New Delhi, 143,Private,27,5k-10k Employees (India),,1.7k,6.2k,15,82
Cogent E Services ,3.4,"Noida,Uttar Pradesh + 27 more",Noida, 27,Private,18,10k-50k Employees (India),,1.5k,6k,1,78
JMC Projects ,4.3,"Mumbai,Maharashtra + 92 more",Mumbai, 92,Public,40,1k-5k Employees (India),,1.5k,5.4k,,55
AFCONS Infrastructure ,4.5,"Mumbai,Maharashtra + 71 more",Mumbai, 71,Partnership,63,1k-5k Employees (India),,1.5k,5.5k,3,84
Life Insurance Corporation of India ,4.4,Mumbai + 347 more,Mumbai, 347,Private,66,1 Lakh+ Employees (India),,1.5k,5.3k,7,36
Voltas ,4.1,"Mumbai,Maharashtra + 137 more",Mumbai, 137,Public,68,5k-10k Employees (India),,1.6k,6.5k,17,39
R1 RCM ,4,"Murray,Utah + 15 more",Murray, 15,Private,19,5k-10k Employees (India),,1.5k,9.5k,8,92
Delhi Public School ,3.9,"Greater Noida,Uttar Pradesh + 205 more",Greater Noida, 205,Public,24,1k-5k Employees (India),,1.5k,5.4k,61,41
Persistent Systems ,4.2,"Pune,Maharashtra + 7 more",Pune, 7,Public,32,10k-50k Employees (India),,1.5k,18.1k,103,188
I Process Services ,4,"Mumbai,Maharashtra + 206 more",Mumbai, 206,Private,17,1k-5k Employees (India),,1.4k,4.6k,3,32
G4S ,4.2,"Gurgaon/Gurugram,Haryana + 100 more",Gurgaon/Gurugram, 100,Private,26,1 Lakh+ Employees (India),,1.5k,4k,19,24
Raymond ,4,New York + 107 more,New, 107,Public,97,5k-10k Employees (India),,1.7k,6k,17,37
Access Healthcare ,4.1,"Dallas,Texas + 16 more",Dallas, 16,Private,11,1k-5k Employees (India),,1.4k,9.7k,126,78
Birla Sun Life Insurance ,4.2,"Mumbai,Maharashtra + 276 more",Mumbai, 276,Private,22,10k-50k Employees (India),,1.4k,6.2k,3,42
Aditya Birla Group ,4.2,"Mumbai,Maharashtra + 188 more",Mumbai, 188,,165,50k-1 Lakh Employees (India),,15.2k,7.4k,2,65
Exide Industries ,3.8,"Kolkata,West Bengal + 163 more",Kolkata, 163,Public,75,1k-5k Employees (India),,1.5k,5.6k,63,58
Zensar Technologies ,3.9,"Pune,Maharashtra + 18 more",Pune, 18,Public,31,10k-50k Employees (India),,1.4k,17.8k,138,100
Fiserv ,3.9,"Brookfield,Wisconsin + 22 more",Brookfield, 22,Private,38,5k-10k Employees (India),,1.4k,14.8k,157,71
Walmart ,4.2,"Bangalore/Bengaluru,Karnataka + 72 more",Bangalore/Bengaluru, 72,Private,13,5k-10k Employees (India),,11.9k,10.1k,194,130
BHEL ,4.3,"Bangalore/Bengaluru,Karnataka + 85 more",Bangalore/Bengaluru, 85,Private,58,10k-50k Employees (India),,1.4k,4.1k,,46
United Phosphorus ,4.3,"Mumbai,Maharashtra + 111 more",Mumbai, 111,Public,53,5k-10k Employees (India),,1.4k,6.7k,100,63
PVR Cinemas ,4.2,Gurgaon + 89 more,Gurgaon, 89,Public,25,5k-10k Employees (India),,1.4k,4.5k,25,24
R.R. Donnelley ,4.1,"Chicago,Illinois + 9 more",Chicago, 9,Private,158,5k-10k Employees (India),,1.4k,8k,27,36
ACT Fibernet ,4.1,"Bengaluru/Bangalore,Karnataka + 32 more",Bengaluru/Bangalore, 32,Private,22,5k-10k Employees (India),,1.4k,4.9k,85,40
Micro Labs ,3.8,"Bangalore/Bengaluru,Karnataka + 97 more",Bangalore/Bengaluru, 97,Private,49,10k-50k Employees (India),,1.4k,6.7k,15,38
PepsiCo ,4.1,"Harrison,New York + 175 more",Harrison, 175,Private,33,1 Lakh+ Employees (India),,1.5k,6.4k,11,59
Statestreet HCL Services ,3.4,New Delhi + 10 more,New, 10,Private,10,5k-10k Employees (India),,1.4k,10.5k,,96
NIIT Technologies ,3.5,"Noida,Uttar Pradesh + 77 more",Noida, 77,Public,18,5k-10k Employees (India),,1.4k,10.5k,,24
Birlasoft ,3.8,"Pune,Maharashtra + 24 more",Pune, 24,Public,27,10k-50k Employees (India),,1.4k,18.1k,79,101
Poonawalla Fincorp ,4.1,"Mumbai,Maharashtra + 245 more",Mumbai, 245,Public,34,5k-10k Employees (India),,1.7k,4.5k,6,17
Ajanta Pharma ,4,"Mumbai,Maharashtra + 82 more",Mumbai, 82,Public,49,1k-5k Employees (India),,1.4k,6.4k,4,41
TVS Supply Chain Solutions ,4.1,"Chennai,Tamil Nadu + 110 more",Chennai, 110,,126,1k-5k Employees (India),,1.5k,7.2k,8,44
Renault-Nissan ,4.1,"Chennai,Tamil Nadu + 64 more",Chennai, 64,Private,12,10k-50k Employees (India),,1.4k,6.6k,3,34
The Himalaya Drug Company ,4.2,"San Francisco,California + 150 more",San Francisco, 150,Private,92,1k-5k Employees (India),,1.3k,5k,15,35
Cholamandalam MS General Insurance ,4,"Chennai,Tamil Nadu + 264 more",Chennai, 264,JV,21,50k-1 Lakh Employees (India),,1.3k,5.2k,10,29
Lenskart ,3,"Delhi,NCT + 103 more",Delhi, 103,Private,12,1k-5k Employees (India),,1.3k,6.2k,75,95
HDFC Sales ,4.1,"Mumbai,Maharashtra + 213 more",Mumbai, 213,Private,18,10k-50k Employees (India),,1.3k,7.6k,2,62
Blue Star ,4.1,"Mumbai,Maharashtra + 102 more",Mumbai, 102,Public,79,1k-5k Employees (India),,1.4k,6.7k,22,43
Emcure Pharmaceuticals ,4.1,Pune + 78 more,Pune, 78,Private,41,5k-10k Employees (India),,1.4k,6.1k,68,47
AGS Health ,4.1,Washington DC + 22 more,Washington, 22,Private,11,5k-10k Employees (India),,1.3k,6.1k,35,47
Tata Technologies ,3.5,Singapore + 32 more,Singapore, 32,Private,33,5k-10k Employees (India),,1.3k,12k,265,68
Exide Life Insurance ,3.7,"Bangalore/Bengaluru,Karnataka + 185 more",Bangalore/Bengaluru, 185,Private,21,1k-5k Employees (India),,1.3k,6.9k,31,47
Mahindra Holidays & Resorts ,3.7,"Chennai,Tamil Nadu + 87 more",Chennai, 87,Private,26,5k-10k Employees (India),,1.3k,5.1k,54,25
Britannia ,4.2,"Reading,Reading + 161 more",Reading, 161,Public,130,5k-10k Employees (India),,1.3k,5.9k,32,55
Legato Health Technologies ,4.1,"Bangalore/Bengaluru,Karnataka + 8 more",Bangalore/Bengaluru, 8,LLP,5,5k-10k Employees (India),,1.3k,12.8k,2,131
Sonalika Tractors ,3.9,"Hoshiarpur,Punjab + 120 more",Hoshiarpur, 120,Private,53,1k-5k Employees (India),,1.3k,5.3k,,43
Sterling & Wilson ,4.2,Mumbai + 67 more,Mumbai, 67,Private,95,5k-10k Employees (India),,1.3k,7.6k,20,36
Dalmia Bharat Cement ,4.1,"Delhi/NCR,New Delhi + 136 more",Delhi/NCR, 136,Public,87,5k-10k Employees (India),,1.3k,6.2k,34,49
TVS Sundram Fasteners ,3.9,"Chennai,Tamil Nadu + 35 more",Chennai, 35,Public,56,1k-5k Employees (India),,1.3k,5.1k,,25
Societe Generale ,3.9,"Bangalore/Bengaluru,Karnataka + 13 more",Bangalore/Bengaluru, 13,Private,22,1k-5k Employees (India),,1.3k,13k,129,76
café Coffee day ,4.1,"Bengaluru,Karnataka + 79 more",Bengaluru, 79,Private,26,10k-50k Employees (India),,1.3k,3.9k,5,13
Johnson Controls ,4,Cork + 52 more,Cork, 52,Public,27,5k-10k Employees (India),,2.1k,9.7k,102,89
Shahi Exports ,4.1,"Faridabad,Haryana + 49 more",Faridabad, 49,Private,48,1 Lakh+ Employees (India),,1.3k,5.4k,45,43
Mahindra Rural Housing Finance ,4.2,"Mumbai,Maharashtra + 300 more",Mumbai, 300,Public,15,5k-10k Employees (India),,1.3k,4.8k,15,38
Big Bazaar ,4.2,"Mumbai,Maharashtra + 148 more",Mumbai, 148,Private,21,10k-50k Employees (India),,1.3k,4.4k,,26
Bhushan Power & Steel ,3.9,"Delhi/NCR,New Delhi + 48 more",Delhi/NCR, 48,Private,52,10k-50k Employees (India),,1.3k,4.7k,5,22
Ambuja Cements ,4,"Mumbai,Maharashtra + 164 more",Mumbai, 164,Public,39,5k-10k Employees (India),,1.3k,5.1k,,48
Paras Hospital ,4.7,"Gurgaon/Gurugram,Haryana + 25 more",Gurgaon/Gurugram, 25,Private,16,1k-5k Employees (India),,1.3k,1.7k,55,15
Yazaki ,4,"Tokyo,Tokyo + 46 more",Tokyo, 46,Private,81,10k-50k Employees (India),,1.3k,5.4k,16,49
UNO Minda ,4.1,Gurgaon + 59 more,Gurgaon, 59,,64,1k-5k Employees (India),,1.3k,5.7k,7,44
Indian Navy ,4.6,"Delhi/NCR,Delhi + 56 more",Delhi/NCR, 56,Private,72,50k-1 Lakh Employees (India),,1.3k,3.1k,,13
Force Motors ,3.4,"Pune,Maharashtra + 72 more",Pune, 72,Public,64,1k-5k Employees (India),,1.3k,5.9k,8,47
Honda ,4.2,"Greater Noida,Uttar Pradesh + 169 more",Greater Noida, 169,Private,37,10k-50k Employees (India),,4.2k,4.9k,8,56
Brakes India ,4.2,"Chennai,Tamil Nadu + 54 more",Chennai, 54,Partnership,60,1k-5k Employees (India),,1.2k,4.9k,5,19
Shriram City ,4.1,"Chennai,Tamil Nadu + 346 more",Chennai, 346,Public,36,10k-50k Employees (India),,1.2k,6.9k,1,20
IGT Solutions ,3.7,"Gurgaon/Gurugram,Haryana + 17 more",Gurgaon/Gurugram, 17,Private,24,5k-10k Employees (India),,1.2k,6.6k,91,60
TVS Credit Services ,4.3,"Chennai,Tamil Nadu + 201 more",Chennai, 201,Public,14,10k-50k Employees (India),,1.2k,4.7k,66,28
Tech Mahindra Business Services ,3.6,"Mumbai,Maharashtra + 31 more",Mumbai, 31,Public,19,1k-5k Employees (India),,1.2k,7.1k,39,127
Reliance SMSL ,4.1,Mumbai + 314 more,Mumbai, 314,Public,15,1k-5k Employees (India),,1.2k,5.1k,,70
Thomson Reuters ,4.3,Toronto + 18 more,Toronto, 18,Private,14,5k-10k Employees (India),,1.3k,8k,198,31
Sobha ,4,"Bangalore/Bengaluru,Karnataka + 34 more",Bangalore/Bengaluru, 34,Public,27,1k-5k Employees (India),,1.2k,6k,33,25
V-mart ,4.4,"Gurgaon/Gurugram,Haryana + 196 more",Gurgaon/Gurugram, 196,Public,20,5k-10k Employees (India),,1.2k,3.4k,44,56
JK Tyres ,3.9,New Delhi + 109 more,New, 109,Private,71,1k-5k Employees (India),,1.2k,5k,,30
Indiabulls ,3.8,"Gurgaon/Gurugram,Haryana + 142 more",Gurgaon/Gurugram, 142,Public,22,10k-50k Employees (India),,3.9k,4.8k,11,57
Indus Towers ,4.1,"Gurgaon,Haryana + 98 more",Gurgaon, 98,Private,15,5k-10k Employees (India),,1.2k,5.3k,37,50
CG Power and Industrial Solutions ,3.9,"Mumbai,Maharashtra + 88 more",Mumbai, 88,Public,85,1k-5k Employees (India),,1.2k,6k,45,27
Whirlpool ,4.3,Michigan + 111 more,Michigan, 111,Public,111,5k-10k Employees (India),,1.2k,5.8k,20,34
Wockhardt ,4.1,"Mumbai,Maharashtra + 68 more",Mumbai, 68,Public,23,5k-10k Employees (India),,1.7k,3.8k,6,22
Parle Agro ,4.3,"Mumbai,Maharashtra + 131 more",Mumbai, 131,Private,38,1k-5k Employees (India),,1.2k,5.6k,,39
DS Group ,4.1,"Noida,Uttar Pradesh + 123 more",Noida, 123,Private,93,1k-5k Employees (India),,1.3k,4.3k,45,36
3i Infotech ,3.7,"Mumbai,Maharashtra + 83 more",Mumbai, 83,Public,29,5k-10k Employees (India),,1.2k,7.9k,87,62
Datamatics Global Services ,3.6,Mumbai + 23 more,Mumbai, 23,Public,47,1k-5k Employees (India),,1.6k,7.8k,104,53
Shree Cement ,4.3,"Kolkata,West Bengal + 134 more",Kolkata, 134,Public,43,5k-10k Employees (India),,1.2k,6.6k,,52
GVK Emergency Management and Research Institute ,3.8,"Hyderabad/Secunderabad,Telangana + 104 more",Hyderabad/Secunderabad, 104,Private,17,10k-50k Employees (India),,1.2k,3.4k,30,30
Reliance Trends ,4.3,"Navi Mumbai,Maharashtra + 245 more",Navi Mumbai, 245,Private,16,1 Lakh+ Employees (India),,1.2k,4.4k,,39
Extramarks Education ,3.7,"Noida,Uttar Pradesh + 92 more",Noida, 92,Private,15,1k-5k Employees (India),,1.2k,6.8k,202,89
GE ,4.3,"Boston,Massachusetts + 53 more",Boston, 53,Private,130,10k-50k Employees (India),,3.1k,6.7k,9,55
State Street Corporation ,3.8,"Boston,Massachusetts + 12 more",Boston, 12,Private,230,10k-50k Employees (India),,1.4k,14.3k,50,60
Tata Motors Finance ,4.3,"Mumbai,Maharashtra + 202 more",Mumbai, 202,Private,65,1k-5k Employees (India),,1.2k,4.2k,2,30
Bharti AXA Life Insurance ,3.9,Mumbai + 196 more,Mumbai, 196,Private,16,5k-10k Employees (India),,1.2k,5.2k,2,50
Myntra ,4.2,"Bangalore,Karnataka + 83 more",Bangalore, 83,Private,15,5k-10k Employees (India),,1.3k,6.2k,73,70
Sterlite Technologies ,4.2,"Pune,Maharashtra + 52 more",Pune, 52,Public,34,5k-10k Employees (India),,1.2k,6.6k,41,59
Lodha group ,4.3,"Mumbai,Maharashtra + 17 more",Mumbai, 17,Private,42,1k-5k Employees (India),,1.2k,5.3k,87,44
Delphi TVS ,4,"Kanchipuram,Tamil Nadu + 24 more",Kanchipuram, 24,Private,33,1k-5k Employees (India),,1.2k,3.8k,3,29
SRF ,4.3,"Gurgaon/Gurugram,Haryana + 40 more",Gurgaon/Gurugram, 40,Public,52,1k-5k Employees (India),,1.8k,4.9k,5,56
BT Group ,4.3,London + 12 more,London, 12,Private,176,10k-50k Employees (India),,2.4k,7.6k,,31
ICICI Securities ,3.7,"Mumbai,Maharashtra + 98 more",Mumbai, 98,Public,27,5k-10k Employees (India),,1.2k,7k,18,58
IKS Health ,3.6,"Mumbai,Maharashtra + 9 more",Mumbai, 9,Private,15,1k-5k Employees (India),,1.2k,6.2k,49,53
Gabriel India ,4.3,"Pune,Maharashtra + 32 more",Pune, 32,Public,61,1k-5k Employees (India),,1.1k,3.8k,,40
Endurance Technologies ,3.8,"Aurangabad,Maharashtra + 29 more",Aurangabad, 29,Public,37,1k-5k Employees (India),,1.1k,5.1k,8,35
BlackBuck ,4,"Bangalore,Karnataka + 183 more",Bangalore, 183,Private,7,1k-5k Employees (India),,1.1k,4.8k,68,77
Yamaha Motor ,3.9,"Iwata,Shizuoka + 103 more",Iwata, 103,Private,15,1k-5k Employees (India),,1.2k,4.7k,,19
Grasim Industries ,4.2,Nagda + 51 more,Nagda, 51,Public,75,10k-50k Employees (India),,6.1k,5k,2,45
Mahindra Logistics ,4.2,"Mumbai,Maharashtra + 91 more",Mumbai, 91,Public,22,1k-5k Employees (India),,1.1k,5.8k,40,64
Future Generali India Life Insurance ,4,Mumbai + 143 more,Mumbai, 143,Private,15,1k-5k Employees (India),,1.1k,5.6k,88,39
Kansai Nerolac Paints ,3.9,"Mumbai,Maharashtra + 119 more",Mumbai, 119,Public,102,1k-5k Employees (India),,1.1k,5.2k,13,47
Sigma Electric Manufacturing Corporation ,3.9,"Garner,North Carolina + 18 more",Garner, 18,Private,40,1k-5k Employees (India),,1.1k,3.6k,16,32
AXA Business Services ,3.9,Paris + 5 more,Paris, 5,Private,27,1k-5k Employees (India),,1.1k,5.9k,25,25
Kalpataru Power Transmission ,4.2,"Mumbai,Maharashtra + 139 more",Mumbai, 139,Public,41,1k-5k Employees (India),,2.6k,5.3k,6,46
Oberoi Group of Hotels ,4.3,"Delhi/NCR,Delhi + 31 more",Delhi/NCR, 31,Private,88,1k-5k Employees (India),,1.1k,3.5k,4,42
Synechron ,4.1,"New York,New York + 13 more",New York, 13,Private,21,5k-10k Employees (India),,1.4k,12.7k,32,86
