,campany_name,rating,headquarter,headquarter.1,num_of_locations,pub_or_pri,how long since founded,employees,reviews,salaries,jobs,interviews,Country,continent,latitude,longitude
220,Aakash Institute ,3.6,"New Delhi,Delhi + 136 more",New Delhi,137,Private,34,1k-5k Employees (India),1800,8200,86,74,India,Asia,20.593684,78.96288
221,Blue Dart Express ,4.2,"Mumbai,Maharashtra + 190 more",Mumbai,191,Public,39,10k-50k Employees (India),1600,5400,0,37,India,Asia,20.593684,78.96288
222,Aarti Industries ,4.2,"Mumbai,Maharashtra + 33 more",Mumbai,34,Public,47,5k-10k Employees (India),1500,8800,42,118,India,Asia,20.593684,78.96288
223,PolicyBazaar ,3.7,"Gurgaon,Haryana + 31 more",Gurgaon,32,Public,14,5k-10k Employees (India),1500,8800,38,87,India,Asia,20.593684,78.96288
224,Tata AIG ,4.1,"Mumbai,Maharashtra + 181 more",Mumbai,182,Private,22,5k-10k Employees (India),1500,8600,92,59,India,Asia,20.593684,78.96288
225,Reliance Digital ,4.3,"Mumbai,Maharashtra + 212 more",Mumbai,213,Private,15,5k-10k Employees (India),1500,5700,0,33,India,Asia,20.593684,78.96288
226,Pfizer ,4.2,"Chennai,Tamil Nadu + 96 more",Chennai,97,Public,18,5k-10k Employees (India),4800,5100,127,25,India,Asia,20.593684,78.96288
227,Mankind Pharma ,4.2,"New Delhi,Delhi + 143 more",New Delhi,144,Private,27,5k-10k Employees (India),1700,6200,15,82,India,Asia,20.593684,78.96288
228,JMC Projects ,4.3,"Mumbai,Maharashtra + 92 more",Mumbai,93,Public,40,1k-5k Employees (India),1500,5400,0,55,India,Asia,20.593684,78.96288
229,AFCONS Infrastructure ,4.5,"Mumbai,Maharashtra + 71 more",Mumbai,72,Partnership,63,1k-5k Employees (India),1500,5500,3,84,India,Asia,20.593684,78.96288
230,Life Insurance Corporation of India ,4.4,Mumbai + 347 more,Mumbai,347,Private,66,1 Lakh+ Employees (India),1500,5300,7,36,India,Asia,20.593684,78.96288
231,Voltas ,4.1,"Mumbai,Maharashtra + 137 more",Mumbai,138,Public,68,5k-10k Employees (India),1600,6500,17,39,India,Asia,20.593684,78.96288
232,R1 RCM ,4.0,"Murray,Utah + 15 more",Murray,16,Private,19,5k-10k Employees (India),1500,9500,8,92,United States of America,Americas,,
233,Persistent Systems ,4.2,"Pune,Maharashtra + 7 more",Pune,8,Public,32,10k-50k Employees (India),1500,18100,103,188,India,Asia,20.593684,78.96288
234,I Process Services ,4.0,"Mumbai,Maharashtra + 206 more",Mumbai,207,Private,17,1k-5k Employees (India),1400,4600,3,32,India,Asia,20.593684,78.96288
235,Access Healthcare ,4.1,"Dallas,Texas + 16 more",Dallas,17,Private,11,1k-5k Employees (India),1400,9700,126,78,United States of America,Americas,,
236,Birla Sun Life Insurance ,4.2,"Mumbai,Maharashtra + 276 more",Mumbai,277,Private,22,10k-50k Employees (India),1400,6200,3,42,India,Asia,20.593684,78.96288
237,Aditya Birla Group ,4.2,"Mumbai,Maharashtra + 188 more",Mumbai,189,,165,50k-1 Lakh Employees (India),15200,7400,2,65,India,Asia,20.593684,78.96288
238,Zensar Technologies ,3.9,"Pune,Maharashtra + 18 more",Pune,19,Public,31,10k-50k Employees (India),1400,17800,138,100,India,Asia,20.593684,78.96288
239,Fiserv ,3.9,"Brookfield,Wisconsin + 22 more",Brookfield,23,Private,38,5k-10k Employees (India),1400,14800,157,71,United States of America,Americas,,
240,United Phosphorus ,4.3,"Mumbai,Maharashtra + 111 more",Mumbai,112,Public,53,5k-10k Employees (India),1400,6700,100,63,India,Asia,20.593684,78.96288
241,PVR Cinemas ,4.2,Gurgaon + 89 more,Gurgaon,89,Public,25,5k-10k Employees (India),1400,4500,25,24,India,Asia,20.593684,78.96288
242,R.R. Donnelley ,4.1,"Chicago,Illinois + 9 more",Chicago,10,Private,158,5k-10k Employees (India),1400,8000,27,36,United States of America,Americas,,
243,PepsiCo ,4.1,"Harrison,New York + 175 more",Harrison,176,Private,33,1 Lakh+ Employees (India),1500,6400,11,59,United States of America,Americas,,
244,Birlasoft ,3.8,"Pune,Maharashtra + 24 more",Pune,25,Public,27,10k-50k Employees (India),1400,18100,79,101,India,Asia,20.593684,78.96288
245,Poonawalla Fincorp ,4.1,"Mumbai,Maharashtra + 245 more",Mumbai,246,Public,34,5k-10k Employees (India),1700,4500,6,17,India,Asia,20.593684,78.96288
246,Ajanta Pharma ,4.0,"Mumbai,Maharashtra + 82 more",Mumbai,83,Public,49,1k-5k Employees (India),1400,6400,4,41,India,Asia,20.593684,78.96288
